centroid_px,centroid_py,gaia_px,gaia_py,gaia_G_mag,match_dist_px
1905.5611958401112,107.60836438258208,1905.2739942766934,107.57306571790286,5.138290882110596,0.28936263365840664
2661.0431865262954,3469.037705344325,2660.658411439663,3469.10959610099,4.614308834075928,0.3914334530759686
3651.051049194559,2511.069024168533,3651.249893652287,2511.239410857004,4.772183895111084,0.2618601572926132
1094.8987826974292,781.9974302392521,1095.1713748769812,782.01767764997,4.920058250427246,0.27334310672431117
3596.471532699965,2672.0978697260657,3596.638595250145,2672.372243978883,4.895794868469238,0.3212337564481109
2875.400767170539,3561.4238414947185,2875.0423401792445,3561.6146975971915,4.92366886138916,0.406073835576169
2710.1790494584257,3912.6138501757896,2709.744031632682,3912.81576175982,4.891197204589844,0.4795923232083485
3698.946738569438,3093.592553891383,3698.912170910932,3093.8804525887344,4.806654453277588,0.2899665203971608
2771.337907479299,887.8671627039311,2771.045316011855,887.8383957477229,4.975826740264893,0.2940022186827839
686.4206506085345,3182.9194637675423,686.6956594009164,3182.4634854865817,3.9505269527435303,0.5324904023502437
2460.455847618461,3360.507522246891,2460.3519718233415,3360.332703538821,4.86743688583374,0.20335132530406563
1038.1793414620463,2284.5890306742517,1038.259174648704,2284.2557768345264,4.915503978729248,0.3426827386717801
926.3481465906464,1276.6595340163033,926.4558597503635,1276.6084348918153,4.686049461364746,0.11921931596723047
1893.3124665759235,881.8740424270651,1893.4049739732168,881.9125098452512,5.0416107177734375,0.10018662992574985
2693.053060474068,3259.8672162184007,2692.802642678654,3259.916107731663,4.896787643432617,0.25514594319523604
890.4316971430328,948.485264907431,890.5670145542931,948.4610748221698,5.143497943878174,0.13746258405519096
406.25764277016526,1400.9548505362882,406.245886120922,1400.8895632047384,5.029543399810791,0.06633742881907155
374.1084070797563,2367.1706702089245,374.10235058582657,2366.9279588745176,4.945196628570557,0.2427868879662498
2828.436238843102,2843.9421974477123,2828.33254413709,2843.913723431181,4.865902423858643,0.10753307245833989
2884.79560482365,3798.599719841369,2884.2972003353893,3798.72850632302,4.788077354431152,0.5147747000141343
3157.9949145972987,847.7952102911693,3157.860123504082,847.6306486302756,5.010254859924316,0.21271854420023983
1163.1422600912963,1514.2512422646384,1163.2311234500405,1514.1946933462536,4.823914051055908,0.105330321834671
3090.206955901543,340.13513147101474,3089.6796089028676,339.99800450258704,4.8167595863342285,0.5448840816928348
1571.4561383716805,2997.6331014406924,1571.632114292387,2997.1702912610617,4.648947238922119,0.4951371396272884
3846.782843991616,1863.938154963001,3847.3308350206185,1864.0893673528524,4.884790897369385,0.5684710676117399
2365.964915667549,1095.824945644964,2365.8353687916074,1095.9082466464954,4.440128803253174,0.1540176935368559
3260.6490843282227,2025.9802194983592,3260.845252515076,2025.9560881158602,4.824423789978027,0.19764685971360124
1214.944511989719,1419.0641188850232,1215.1121042323052,1418.9456018187284,4.604874610900879,0.2052643534035211
414.5152801052824,1779.8769617913315,414.51465275220903,1779.6269155147816,5.034700393676758,0.2500470635467784
2913.1479021412747,1332.8218006649151,2913.101263177975,1332.7385341060292,4.888073921203613,0.09543852852168157
3452.4696530214364,2236.1130236807458,3452.7770544081,2236.1719093947086,4.982024669647217,0.3129906385685698
1788.1649955236192,3574.4625674110393,1788.3441718170457,3574.1916348644636,4.848322868347168,0.32482085665807103
3735.089790052724,3162.4231385779285,3735.1089469588114,3162.604401967602,5.1089396476745605,0.18227288192910232
1672.2139062837523,3675.1724732559273,1672.147074042803,3674.7515818124625,5.04991340637207,0.4261644701429241
1640.6860871415083,3864.042007979446,1640.5163591016542,3863.623390688428,5.060543537139893,0.4517167739325901
1331.045911191488,322.86945543142053,1331.1183311452637,322.9685338825209,4.734200477600098,0.12272403667307893
3204.6796793996323,3426.883713633211,3204.4154269668625,3427.1183696446724,4.976175308227539,0.3534017429778747
1277.557384500987,2784.086256580643,1277.8063563279145,2783.658965777472,5.021600723266602,0.4945345297125054
3280.574432975954,844.7551124684256,3280.2915010575357,844.574821807083,4.84989070892334,0.3354924634433257
2990.3499204456293,932.9611831870004,2990.22158005611,932.910684321932,5.123852729797363,0.1379180588437219
2267.6338449613672,821.3246441434127,2267.19672426268,821.0288262276413,5.208800315856934,0.527809382743439
2291.54081886026,3714.215347020113,2291.3814008277827,3714.080612785185,4.799525737762451,0.20872810817064014
628.7256422424588,2602.0111791368954,628.8047927251589,2601.6059516305804,5.317163467407227,0.4128851302552875
2935.985128336481,3104.9798619117323,2935.806763974904,3105.0477203481237,5.04222297668457,0.19083661302363067
1518.4647795504611,842.6417797121682,1518.7852087437077,842.7269723436768,5.0420637130737305,0.33156093308474766
3088.257265503469,1026.9417925273738,3088.1071593205097,1026.8263635334906,4.9360246658325195,0.1893560635193233
766.2192953687272,2120.169797888613,766.3341397686222,2120.000500494311,4.324624061584473,0.20457478804772486
2917.10392650105,1006.3018701513,2916.9557455090635,1006.243783003722,5.131561756134033,0.1591594266760329
698.5985640000063,826.5975620084906,698.7318506127638,826.6046352041953,5.0670623779296875,0.13347415943861746
718.309884395341,949.4436153335816,718.4224436342249,949.3775979623942,5.126649379730225,0.13049090219867826
3627.305317648363,1105.45891919504,3627.4316342526668,1105.402953760883,5.304583549499512,0.13815938022139812
476.39105257666694,1279.2039909080422,476.47145373350713,1279.1460219699866,5.177490234375,0.09911984564425098
362.46437326924314,1344.387241035312,362.42803175973904,1344.4256090547433,4.7570085525512695,0.05284704559500504
3446.3912152759135,1261.1331546461302,3446.5004835786517,1261.0653647302133,5.033037185668945,0.12858862579286134
1006.3165494373724,699.7862845288121,1006.5149557690609,699.8759508734761,5.155814170837402,0.2177271820868668
2085.9939260478077,3526.0000000639607,2085.4901042705023,3525.809509595426,3.7720093727111816,0.5386306729937713
883.5736924733482,2025.8553044502069,883.6502345335086,2025.6573466317604,5.251065731048584,0.21224039402920603
1079.3629918015731,3233.439534492019,1079.6976031416275,3232.864874008339,5.283212184906006,0.6649807669371178
3900.769935354984,2469.5218466069364,3901.1001580710745,2469.6502693115885,4.954533100128174,0.354315443203084
745.4341067214654,1954.7072862851064,745.388881687913,1954.500034199725,5.090039253234863,0.21212904222378323
