centroid_px,centroid_py,RA_obs,DEC_obs,RA_catalog,DEC_catalog,magV,r_px,r_solar,total_offset_arcsec,radial_deflection_arcsec,einstein_pred_arcsec,residual_arcsec
1351.7171802715725,3680.3583973776576,128.55920612843454,80.65613003275881,128.54616767522737,80.66215443389548,4.769056797027588,1774.6559392001384,148.1352675291898,22.987029094575114,15.716044714131492,0.011820277704328365,15.704224436427163
3201.509369983801,3330.330801131459,226.35863270834,30.945231176474195,226.35933475223496,30.955037191542214,4.411909580230713,1724.8061195887715,143.9741700447163,35.368133280828275,6.783658275170036,0.012161903759932527,6.7714963714101035
3549.5124740324422,1739.052435044057,217.26825581616143,-24.271735492273837,217.26554985520377,-24.271181515427003,4.479559421539307,1532.9671580197771,127.96085993382607,9.10157648550685,3.1913441642057547,0.013683871778491606,3.1776602924272632
3733.357050813893,1832.2451886840856,216.94689724124572,-19.807304000251122,216.94363574075547,-19.800869580681503,4.579329013824463,1699.1110991733494,141.8293381145777,25.66325023738678,-6.278315895056935,0.01234582367285282,-6.290661718729788
3494.534684428305,1458.696745852916,212.26064501106467,-33.22319839727365,212.25846369762652,-33.22424540378795,4.572127342224121,1561.9670030453392,130.3815543942424,7.573648210145816,7.920835692023648,0.013429813811740562,7.907405878211907
527.7161909140773,2965.3013396556275,79.8627405382867,50.68476437074625,79.8555711718784,50.681199301525595,4.140897750854492,1775.58570840802,148.21287784638292,20.788189676918773,3.2078290964339033,0.011814088124075464,3.196015008309828
3947.2751306180135,1837.886800043347,214.91771239285396,-18.125628457274736,214.91335027470194,-18.12112325468984,4.651327133178711,1910.861998831966,159.5047508397134,22.040630882682752,-7.587121296732497,0.010977729445561047,-7.598099026178058
883.5944688471833,1383.7915449484633,79.38205576309308,-7.801027931170314,79.38320425411557,-7.808237775708188,4.763619422912598,1340.5271771736755,111.89738113984757,26.27668737883311,-6.442619988228065,0.015648266136020002,-6.458268254364086
786.6453943864226,1945.673169146176,73.8896720351554,16.132251982864798,73.8902691702069,16.124352238025207,4.66057014465332,1265.4984083021086,105.6345295618765,28.51395979554501,-9.655246312239775,0.016576019292766708,-9.671822331532542
1133.8799745652102,3653.850637611945,106.22795465179442,76.20689501843145,106.20080058887721,76.20863310705901,4.799609661102295,1847.801853884661,154.24095224311964,24.130254349653082,13.39994126898478,0.011352367672367688,13.388588901312412
