px,py,gaia_px,gaia_py,magV,ID,match_dist_px,LON(obs),LAT(obs),LON(catalog),LAT(catalog),r_solar
581.6235106667182,1518.2666546365826,581.8337735073512,1518.2617369303057,6.838799953460693,gaia_full_611,0.2103203413512483,-33.421096267064954,-11.240165164000574,-33.41631813322718,-11.240454509793858,130.7967793912726
3021.579935039192,3241.8002386481016,3021.2663667879933,3241.831030135375,5.971434593200684,gaia_full_1137,0.3150764412779765,23.63134914769105,26.17080506862735,23.62388012214398,26.171929566680138,130.79990849001626
484.326311514469,1932.8782565198792,484.355785831184,1932.6661567944943,7.794750213623047,gaia_full_2155,0.2141378734695281,-35.182001221239915,-2.409469698318226,-35.18141902235479,-2.4139532225417537,130.82630689121686
3608.564073062539,2173.381657104426,3609.0579111595216,2173.288048774568,7.934679985046387,gaia_full_2985,0.5026316598166722,35.1619681264501,2.668529824859099,35.17304697583426,2.666444968874898,130.8627940104521
1001.8597221366236,3181.958249896526,1002.0493564947024,3181.4733745011167,7.1336565017700195,gaia_full_2276,0.5206393558282337,-25.141090736331147,24.766696316639013,-25.13505394646044,24.756445913048115,130.88379493796802
2104.879692464717,480.31727119275,2104.714312135399,480.08785742072155,7.470672607421875,gaia_full_2899,0.2828097100910603,1.4959566698509226,-35.24678368507917,1.4917491076973044,-35.25196520249351,130.89819090835763
1609.7975809360507,3544.035789211955,1609.872224881171,3543.6363480917007,7.452390193939209,gaia_full_2679,0.4063556657573983,-11.141926631163289,33.491724997851136,-11.139221668802008,33.482870213055484,130.91177976626335
2160.6137666272034,3610.625078913677,2160.641187558942,3610.55415231011,7.739710330963135,gaia_full_3073,0.0760426892669604,2.9345540455680235,35.16781740631731,2.9352217699126437,35.16621576867971,130.91668951632926
2009.04928066506,478.77497338990304,2008.8554329114104,478.73812608980234,6.888982772827148,gaia_full_928,0.1973187145701636,-0.9811786868490485,-35.28352286856557,-0.986197440135616,-35.28433610864972,130.95236077075114
3252.8865852035688,3014.1208122094827,3252.7740186624424,3014.2017458586283,6.372304439544678,gaia_full_1623,0.1386415585067998,28.44853119475518,20.90925427662005,28.446120390466653,20.9111524418384,130.97869147703452
1392.3331115822532,639.2353855353105,1392.7239358991071,639.4107553548383,7.509374618530273,gaia_full_1483,0.428366922445877,-16.41056797912642,-31.27927283281584,-16.400331003057914,-31.27585912359974,131.01505271887703
3546.298469563948,2490.355323059028,3546.3784900157107,2490.409490826817,5.781228542327881,gaia_full_656,0.0966303253000055,34.055559729973126,9.402611224918626,34.05745425679246,9.403698364671166,131.0775178863049
1927.018442673114,481.7261637871849,1926.8249888514688,481.8506282254093,7.449239730834961,gaia_full_3123,0.2300342963379796,-3.09999648406429,-35.203308690533035,-3.104918831736367,-35.20046036522756,131.0971095662149
518.03529188072,1706.466547624257,517.9827155413141,1706.303856959848,7.649622917175293,gaia_full_2604,0.1709752138503068,-34.59366068755005,-7.2068462912300175,-34.59503388095751,-7.210255740358283,131.10189820544247
1661.3001058059178,3561.7171197045673,1661.6311741069446,3562.127438957882,7.382580280303955,gaia_full_1943,0.5272268103820105,-9.863333900580894,33.929609255747614,-9.855626882157392,33.93904647440409,131.1117713739903
2779.5498180093887,679.917651330331,2779.072878290252,679.7201318270443,7.874935626983643,gaia_full_3741,0.5162222872646962,18.234718603964584,-30.282906148379844,18.223464385971234,-30.28788014274473,131.1358124746212
3616.013051991613,1976.794247772215,3616.5199842946586,1976.855925232776,7.580306053161621,gaia_full_2321,0.5106706071554191,35.31108515544283,-1.4815334471908497,35.32247883265026,-1.4801697958103703,131.1577501678143
1220.564172447945,3357.421638244577,1220.953601062124,3356.998618980057,7.406513214111328,gaia_full_2827,0.5749782114974501,-20.38284768482043,28.910177566372017,-20.372004307648037,28.901424309197964,131.1809640681144
